"Item.Type","Publication.Year","Author","Title","Publication.Title","DOI","Pages","Issue","Volume","Salaetal_v1","Salaetal_v2"
"journalArticle",2022,"Zang, Yong-Xin; Ma, Jian-Ying; Zhou, Xiao-Bing; Tao, Ye; Yin, Ben-Feng; Shayaguli, Jigeer; Zhang, Yuan-Ming; 1State Key Laboratory of Desert and Oasis Ecology, Key Laboratory of Ecological Safety and Sustainable Development in Arid Lands, Xinjiang Institute of Ecology and Geography, Chinese Academy of Sciences, Ürümqi 830011, China; 2Key Laboratory of Geographical Processes and Ecological Security in Changbai Mountains, Ministry of Education, School of Geographical Sciences, Northeast Normal University, Changchun 130024, China; 3Xinjiang Key Laboratory of Biological Resources and Genetic Engineering, College of Life Science and Technology, Xinjiang University, Ürümqi 830046, China","Effects of extreme drought and extreme precipitation on aboveground productivity of ephemeral plants across different slope positions along sand dunes","Chinese Journal of Plant Ecology","10.17521/cjpe.2021.0473","1537-1550","12",46,1,0
"journalArticle",2023,"Ali, Arshad","Biodiversity–ecosystem functioning research: Brief history, major trends and perspectives","Biological Conservation","","110210","",285,0,1
"journalArticle",2023,"Ali, Arshad","Biodiversity–ecosystem functioning research: Brief history, major trends and perspectives","Biological Conservation","10.1016/j.biocon.2023.110210","110210","",285,1,0
"journalArticle",2023,"Farrell, Hannah L.; Munson, Seth M.; Butterfield, Bradley J.; Duniway, Michael C.; Faist, Akasha M.; Gornish, Elise S.; Havrilla, Caroline A.; Larios, Loralee; Reed, Sasha C.; Rowe, Helen I.; Laushman, Katherine M.; McCormick, Molly L.","Soil surface treatments and precipitation timing determine seedling development across southwestern <span style=""font-variant:small-caps;"">US</span> restoration sites","Ecological Applications","10.1002/eap.2834","e2834","4",33,1,1
"journalArticle",2023,"Gao, Xiaotian; Li, Frank Yonghong","The inverse texture effect of soil on vegetation in temperate grasslands of China: Benchmarking soil texture effect","Geoderma","","116641","",438,1,1
"journalArticle",2023,"Lichter-Marck, Isaac H.; Baldwin, Bruce G.","Edaphic specialization onto bare, rocky outcrops as a factor in the evolution of desert angiosperms","Proceedings of the National Academy of Sciences","10.1073/pnas.2214729120","e2214729120","6",120,1,1
"journalArticle",2023,"Mensah, Sylvanus; Noulèkoun, Florent; Dimobe, Kangbéni; Seifert, Thomas; Glèlè Kakaï, Romain","Climate and soil effects on tree species diversity and aboveground carbon patterns in semi-arid tree savannas","Scientific Reports","","11509","1",13,1,1
"journalArticle",2023,"Villa, Pedro Manuel; Meira-Neto, João Augusto Alves; Diniz, Écio Souza; Ali, Arshad; Neri, Andreza Viana; Martins, Sebastião Venâncio; Campos, Prímula Viana; Pinto-Junior, Herval Vieira; da Costa, Jamerson Souza; Coelho, Alex Josélio Pires","Soil factors rather than stand age drive tree phylogenetic diversity along Amazon Forest succession","Ecological Engineering","","106915","",189,1,1
"journalArticle",2024,"Brown, Renée F.; Collins, Scott L.","Revisiting the bucket model: Long‐term effects of rainfall variability and nitrogen enrichment on net primary production in a desert grassland","Journal of Ecology","10.1111/1365-2745.14258","629-641","3",112,1,1
"journalArticle",2024,"Feldman, Andrew F.; Feng, Xue; Felton, Andrew J.; Konings, Alexandra G.; Knapp, Alan K.; Biederman, Joel A.; Poulter, Benjamin","Plant responses to changing rainfall frequency and intensity","Nature Reviews Earth & Environment","","1–19","",NA,1,1
"journalArticle",2024,"Goebl, April M.; Kane, Nolan C.; Doak, Daniel F.; Rieseberg, Loren H.; Ostevik, Kate L.","Adaptation to distinct habitats is maintained by contrasting selection at different life stages in sunflower ecotypes","Molecular Ecology","10.1111/mec.16785","e16785","4",33,1,1
"journalArticle",2024,"Suliman, Mahmoud; Scaini, Anna; Manzoni, Stefano; Vico, Giulia","Soil properties modulate actual evapotranspiration and precipitation impacts on crop yields in the USA","Science of the Total Environment","","175172","",949,1,1
"journalArticle",2024,"Terry, Tyson J.; Adler, Peter B.","Precipitation seasonality and soil texture interact to shape dryland recovery from severe disturbance","Journal of Ecology","10.1111/1365-2745.14306","1356-1368","6",112,1,1
